sample_id,id,base_word,pos_pair,affix
2,28,fragment,N:V,-ize
2,29,overcook,V:N,-er
2,30,clock,V:V,under-
2,31,good,N:U,-y
2,32,just,ADV:V,-ify
2,33,nature,N:V,re-
2,34,inviolate,ADJ:ADV,-ly
2,35,awk,U:ADV,-ward
2,36,fuck,ADV:V,be-
2,37,Tudor,N:U,-ize
2,38,geographyphysiogeography,U:U,physio-
2,39,transparent,N:ADV,-ly
2,40,stow,U:V,be-
2,41,œconomy,N:V,-ize
2,42,gingerly,U:N,-ness
2,43,how,N:U,-'ve
2,44,entrepreneur,N:N,bio-
2,45,warded,ADJ:ADJ,un-
2,46,oil,ADV:ADJ,-y
2,47,fictional,ADJ:V,-ize
2,48,lysine,N:N,di-
2,49,coronal,U:ADJ,infra-
2,50,glutealventrogluteal,U:U,ventro-
2,51,bumpfire,V:U,-ed
2,52,mollified,V:ADV,-ly
2,53,lingual,ADJ:ADJ,apico-
2,54,magisterialunmagisterial,U:U,un-
2,55,yearning,N:ADV,-ly
2,56,thermally,ADV:ADV,hyper-
2,57,show,V:U,-er
2,58,podetial,ADJ:ADJ,pseudo-
2,59,sicker,U:ADV,-ly
2,60,prepare,V:U,pre-
2,61,inimical,ADJ:N,-ity
2,62,never,ADV:N,-ness
2,63,radical,ADJ:N,pre-
2,64,blow,V:U,a-
2,65,level,ADJ:V,-ise
2,66,treat,V:ADJ,-able
2,67,enlarged,V:ADV,-ly
2,68,fuck,ADV:V,mis-
2,69,flicker,N:ADJ,-y
2,70,somewhile,ADV:U,-s
2,71,beatific,ADJ:V,-ate
2,72,ice,N:V,-en
2,73,garbage,N:ADJ,-ness
2,74,Annam,U:N,-ese
2,75,shitty,ADJ:N,-ness
2,76,boson,U:V,-ize
2,77,delimitated,V:ADJ,un-
2,78,intricate,ADJ:V,dis-
2,79,undisputable,ADJ:U,-ly
2,80,their,ADV:U,-s
2,81,villager,U:N,-ess
2,82,pun,U:ADJ,-acious
2,83,relish,N:V,-est
2,84,Galenical,ADJ:ADV,-ly
2,85,bewound,V:U,-ing
2,86,together,ADV:N,-hood
2,87,yuck,U:ADJ,-y
2,88,please,ADV:N,-er
2,89,bone,U:V,un-
2,90,set,U:N,-hood
2,91,spike,N:ADJ,-y
2,92,gastricextragastric,U:U,extra-
2,93,bone,U:V,-ing
2,94,'t,U:V,for-
2,95,unshifting,V:ADV,-ly
2,96,habited,V:ADJ,dis-
2,97,what,ADV:U,-ever
2,98,coax,V:V,-eth
2,99,fuck,ADV:N,-ness
2,100,again,ADV:U,-st
2,101,short,ADV:N,-ie
2,102,crime,N:ADJ,-free
2,103,together,ADV:ADJ,un-
2,104,back,U:ADJ,-less
2,105,tontine,N:U,-eer
2,106,unmemorable,ADJ:U,-ly
2,107,western,ADJ:V,-ise
2,108,posteriorly,ADV:ADV,meso-
2,109,hedged,V:ADJ,under-
2,110,percent,ADV:ADJ,-wise
2,111,even,N:ADV,yester-
2,112,antivaccine,ADJ:N,-ist
2,113,mounting,N:ADV,-ly
2,114,matter,V:N,anti-
2,115,irreducible,ADJ:U,-ly
2,116,sulfate,N:U,tri-
2,117,savour,N:V,-eth
2,118,exponential,U:ADJ,multi-
2,119,fib,U:N,-er
2,120,amniotically,ADV:ADV,intra-
2,121,voiced,V:ADJ,non-
2,122,sentimentalize,V:N,-er
2,123,sphenoidal,ADJ:ADJ,occipito-
2,124,telling,U:ADV,-ly
2,125,hawk,N:U,-wise
2,126,palatinerhinopalatine,U:U,rhino-
2,127,chrysophane,N:N,-ol
2,128,faultless,ADJ:ADV,-ly
2,129,piquant,ADJ:N,-ness
2,130,inscrutable,ADJ:U,-ly
2,131,chic,U:ADV,-ly
2,132,consternate,V:N,-ion
2,133,subtle,ADJ:ADV,-ly
2,134,coronal,U:ADV,-ly
2,135,sociotechnical,ADJ:ADV,-ly
2,136,rang,V:V,-est
2,137,countable,ADJ:U,-ly
2,138,cankered,U:ADV,-ly
2,139,hitch,V:V,un-
2,140,monomyth,N:ADJ,-ic
2,141,overdose,U:N,-er
2,142,short,ADV:N,-y
2,143,churning,V:ADV,-ly
2,144,expurgated,V:ADJ,un-
2,145,detective,N:ADJ,non-
2,146,weekly,ADV:ADJ,semi-
2,147,strafe,V:N,-er
2,148,textual,ADJ:ADJ,-istic
3,1,sparky,N:ADV,-ly
3,2,intropunitive,ADJ:ADV,-ly
3,3,apprehensible,ADJ:U,-ly
3,4,speed,N:V,dis-
3,5,fuck,ADV:V,be-
3,6,prayerful,ADJ:N,-ness
3,7,emollient,N:ADV,-ly
3,8,fuck,ADV:ADJ,-ish
3,9,solar,ADJ:ADJ,pan-
3,10,sicker,U:ADV,-ly
3,11,beneath,ADV:N,-ness
3,12,Rome,N:ADV,-wards
3,13,without,U:N,-ness
3,14,fit,ADJ:V,-ing
3,15,Saskatoon,N:U,-ian
3,16,unfeasible,ADJ:U,-ly
3,17,endocytosable,ADJ:ADJ,non-
3,18,percent,ADV:ADJ,-ual
3,19,active,ADJ:N,-ist
3,20,jazz,N:ADJ,-like
3,21,decillion,U:N,quin-
3,22,notify,V:N,-ee
3,23,perching,V:ADJ,non-
3,24,mesenchymally,ADV:ADV,ecto-
3,25,connect,V:N,-ability
3,26,segment,N:N,hemi-
3,27,minor,ADJ:V,-ize
3,28,aesthesia,N:N,tele-
3,29,like,ADV:V,un-
3,30,turbinateobturbinate,U:U,ob-
3,31,faced,U:ADV,-ly
3,32,often,ADV:N,-ness
3,33,select,ADJ:V,pre-
3,34,undone,U:N,-ness
3,35,welfare,N:ADJ,post-
3,36,feed,U:V,under-
3,37,awk,U:ADV,-ward
3,38,out,ADV:N,-er
3,39,thee,V:U,-self
3,40,hourly,ADV:ADJ,bi-
3,41,mesophyte,N:ADJ,-ic
3,42,topologize,V:U,-ation
3,43,perhaps,ADV:N,-er
3,44,encourage,V:V,-est
3,45,adiabatically,ADV:ADV,non-
3,46,umbestound,ADV:U,-s
3,47,parasiticautoparasitic,U:U,auto-
3,48,antennal,ADJ:ADJ,post-
3,49,nutrientglyconutrient,U:U,glyco-
3,50,masochistic,ADJ:ADJ,un-
3,51,substructure,N:ADJ,-ed
3,52,inflating,V:ADV,-ly
3,53,fuck,ADV:U,-ity
3,54,down,ADV:N,-er
3,55,blossom,N:U,out-
3,56,grieve,V:V,be-
3,57,stow,U:V,un-
3,58,slamming,V:ADV,-ly
3,59,flight,U:ADJ,pre-
3,60,tiering,V:N,auto-
3,61,assist,V:V,-eth
3,62,vorticular,ADJ:ADV,-ly
3,63,pejorative,ADJ:ADV,-ly
3,64,untouchable,ADJ:U,-ly
3,65,inching,V:ADV,-ly
3,66,chop,U:ADJ,-y
3,67,winterized,V:ADJ,un-
3,68,bathy-,U:ADJ,-al
3,69,theogony,N:ADJ,-ic
3,70,ignore,V:V,-y
3,71,their,ADV:U,-s
3,72,beside,U:ADV,-ly
3,73,faced,U:ADJ,twi-
3,74,whereabout,ADV:U,-s
3,75,times,N:V,-ing
3,76,ingress,V:ADJ,-ive
3,77,galactosylated,V:ADJ,tri-
3,78,wax,N:V,re-
3,79,respect,N:V,-ing
3,80,prop-,U:N,-ane
3,81,somewhile,ADV:U,-s
3,82,isotope,V:U,radio-
3,83,discourage,V:ADJ,-able
3,84,mud,N:V,-en
3,85,medially,ADV:ADV,ad-
3,86,bewhape,V:U,-ed
3,87,hew,U:V,for-
3,88,ground,N:ADV,-wards
3,89,presuming,ADJ:ADV,-ly
3,90,sequester,V:ADJ,-able
3,91,caliph,N:U,-ian
3,92,transume,V:N,-er
3,93,linking,ADJ:N,multi-
3,94,seek,U:V,be-
3,95,elastic,ADJ:V,-ise
3,96,Aggie,U:N,-land
3,97,judge,U:N,-craft
3,98,out,ADV:ADJ,-ward
3,99,sate,U:ADJ,-ed
3,100,their,ADV:U,-self
3,101,moisten,V:V,be-
3,102,impinging,V:ADV,-ly
3,103,exponential,U:ADJ,pre-
3,104,seek,U:V,for-
3,105,steep,ADJ:V,over-
3,106,frame,V:N,co-
3,107,punishable,ADJ:ADV,-ly
3,108,root,N:V,re-
3,109,betime,U:ADV,-s
3,110,show,V:N,-er
3,111,payment,N:N,in-
3,112,orphan,ADJ:V,-ize
3,113,dailyintradaily,U:U,intra-
3,114,chic,U:ADV,-ly
3,115,invert,V:U,-or
3,116,dialytically,ADV:ADV,electro-
3,117,medial,ADJ:ADJ,posterio-
3,118,slap,N:U,-ity
3,119,zombify,V:V,-ing
3,120,defensively,ADV:ADV,non-
3,121,seek,U:V,under-
3,122,hepatic,ADJ:ADJ,chole-
3,123,pemmican,N:U,-ize
3,124,illimitable,ADJ:U,-ly
3,125,catnap,V:U,-er
3,126,lad,N:N,-ette
3,127,dreadful,ADV:N,-ness
3,128,sifting,V:ADV,-ly
3,129,correctly,ADV:ADV,in-
3,130,Eric,N:U,-son
3,131,globalism,N:N,hyper-
3,132,hard,ADV:ADJ,-y
3,133,temporal,ADJ:ADV,-ly
3,134,just,ADV:V,-ify
3,135,punishable,ADJ:U,-ly
3,136,directionalisodirectional,U:U,iso-
3,137,unperceivable,ADJ:U,-ly
3,138,clutching,V:ADV,-ly
3,139,weekly,ADV:ADJ,semi-
3,140,womyn,N:ADJ,-ly
3,141,complaisant,ADJ:N,-ce
3,142,habitable,ADJ:N,-ity
3,143,informal,ADJ:N,-ity
3,144,fuck,ADV:V,mis-
3,145,food,N:ADV,-wise
3,146,sun,N:ADV,-wards
3,147,accretioncoaccretion,U:U,co-
3,148,erythromycin,N:N,homo-
