sample_id,id,lemma
1,121,marbleize
1,122,photodisintegrate
1,123,reshingle
1,124,bowdlerize
1,125,rusticate
1,126,lick
1,127,redbait
1,128,advoke
1,129,slouch
1,130,fraternize
1,131,præcede
1,132,defib
1,133,partition
1,134,bebump
1,135,præfix
1,136,bull-whip
1,137,abord
1,138,forwax
1,139,confab
1,140,girdle
1,141,lenify
1,142,tear-gas
1,143,Sherlock
1,144,unbind
1,145,predestinate
1,146,affy
1,147,hornpipe
1,148,regraft
1,149,kitbash
1,150,grutch
2,1,inmove
2,2,plodge
2,3,misnomer
2,4,nitrosylate
2,5,strut
2,6,ache
2,7,pipette
2,8,ossify
2,9,flurt
2,10,cackle
2,11,coke
2,12,hotwire
2,13,repolarize
2,14,balsam
2,15,check-fold
2,16,oooh
2,17,relearn
2,18,besoul
2,19,sidestep
2,20,clonk
2,21,disflesh
2,22,bribe
2,23,Omanize
2,24,dismembre
2,25,rebecome
2,26,notarize
2,27,empierce
2,28,deterritorialize
2,29,outswell
2,30,blowe
2,31,jest
2,32,etherealize
2,33,slow
2,34,lank
2,35,remble
2,36,bestrange
2,37,rasterise
2,38,valve
2,39,rewet
2,40,fortee
2,41,extoll
2,42,thumbshot
2,43,subgrant
2,44,abstain
2,45,renege
2,46,mete
2,47,empty
2,48,reanoint
2,49,tingle
2,50,reach
2,51,overkeep
2,52,patrol
2,53,lateralize
2,54,microcrack
2,55,glutton
2,56,deaccession
2,57,backdoor
2,58,outswear
2,59,umbrella
2,60,beteach
2,61,tiver
2,62,mash
2,63,batch
2,64,dethronize
2,65,prehydrate
2,66,liquate
2,67,depredate
2,68,bunch
2,69,contex
2,70,foregrasp
2,71,reprivatize
2,72,ratify
2,73,circumpose
2,74,dewret
2,75,conscion
2,76,shariatise
2,77,monograph
2,78,webize
2,79,shack
2,80,besmut
2,81,overtighten
2,82,brawn
2,83,recolonise
2,84,jock
2,85,respread
2,86,growl
2,87,self-kill
2,88,advene
2,89,yo-yo
2,90,self-sabotage
2,91,prise
2,92,sage
2,93,outcheer
2,94,accomplish
2,95,forcling
2,96,bedark
2,97,misplease
2,98,hacksaw
2,99,backchat
2,100,unqueen
2,101,prevue
2,102,miseducate
2,103,restaff
2,104,unobscure
2,105,beknave
2,106,tenant
2,107,theocratize
2,108,jackaroo
2,109,mollify
2,110,misuse
2,111,mesmerize
2,112,frak
2,113,front
2,114,feck
2,115,embosom
2,116,whirr
2,117,quid
2,118,guarish
2,119,uphurl
2,120,brainwash
2,121,syntacticise
2,122,resynthesize
2,123,dack
2,124,germinate
2,125,alchemise
2,126,flip-flap
2,127,circumflex
2,128,immute
2,129,cum
2,130,gee
2,131,uncreate
2,132,truck
2,133,subduce
2,134,subsist
2,135,underpot
2,136,naturalize
2,137,villain
2,138,huggle
2,139,defrizz
2,140,girlcott
2,141,watchlist
2,142,conclude
2,143,layback
2,144,pre-process
2,145,bushwalk
2,146,tinkle
2,147,reprint
2,148,tread
2,149,hippity-hop
2,150,metricize
3,1,caut
3,2,misprescribe
3,3,anathematise
3,4,leer
3,5,herringbone
3,6,atgo
3,7,tusk
3,8,spreadeagle
3,9,humblebrag
3,10,roger
3,11,writh
3,12,detail
3,13,sub
3,14,coitize
3,15,whish
3,16,internationalize
3,17,relick
3,18,cross-stitch
3,19,smoothe
3,20,unkiss
3,21,overproportion
3,22,overwrest
3,23,weed
3,24,repaste
3,25,sley
3,26,instrument
3,27,prison
3,28,introspect
3,29,seriate
3,30,rechip
3,31,coteach
3,32,auth
3,33,pickax
3,34,fasciate
3,35,affection
3,36,head-butt
3,37,fletch
3,38,ploy
3,39,mustre
3,40,preview
3,41,forteach
3,42,vulgarize
3,43,decrown
3,44,dissertate
3,45,impark
3,46,tassel
3,47,atend
3,48,disdeign
3,49,compendiate
3,50,reproliferate
3,51,converge
3,52,brode
3,53,bloviate
3,54,inwork
3,55,impark
3,56,annex
3,57,disinvolve
3,58,snive
3,59,sombre
3,60,rechange
3,61,acetylate
3,62,nomadize
3,63,overattribute
3,64,lasso
3,65,madefy
3,66,interiorize
3,67,roof
3,68,untruck
3,69,scunge
3,70,lionize
3,71,outcry
3,72,homodyne
3,73,scout
3,74,dativize
3,75,rufie
3,76,shi'ize
3,77,ingrain
3,78,collor
3,79,tabour
3,80,rebottle
3,81,uncreate
3,82,stonk
3,83,bulk
3,84,prerequire
3,85,grandfather
3,86,overegg
3,87,præsume
3,88,delectate
3,89,enarch
3,90,decriminalize
3,91,consense
3,92,duel
3,93,firewalk
3,94,avoid
3,95,tripod
3,96,micrograph
3,97,beget
3,98,behang
3,99,unreel
3,100,castigate
3,101,sinuate
3,102,preselect
3,103,pedestrianize
3,104,Bork
3,105,mischaracterize
3,106,tranship
3,107,exteriorize
3,108,reheal
3,109,defriend
3,110,farm
3,111,mishear
3,112,conserve
3,113,preshape
3,114,reacidify
3,115,slite
3,116,archaise
3,117,befold
3,118,nullify
3,119,stucco
3,120,microtome
3,121,war-drive
3,122,four-flush
3,123,overhope
3,124,entice
3,125,upblow
3,126,belave
3,127,pharyngealize
3,128,downsize
3,129,clothe
3,130,alliterate
3,131,drynurse
3,132,whemmle
3,133,foot-slog
3,134,magnetise
3,135,coact
3,136,livetweet
3,137,cherrypick
3,138,radioassay
3,139,gzip
3,140,scree
3,141,forejudge
3,142,acquiet
3,143,reupdate
3,144,jazzify
3,145,pooh-pooh
3,146,volley
3,147,zoom
3,148,autoreact
3,149,dedramatize
3,150,smilt
